LNG Esports vs Ultra Prime
Game 1
Time,31:02
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
JUNGLE,Vi,0,4,3,0.8,155,5.6,2800.55,20673.9
MID,Taliyah,2,5,1,0.6,221,8.1,15971.27,11297.6
ADC,Aphelios,0,4,1,0.3,261,9.5,11028.59,9613.44
SUPPORT,Leona,1,5,2,0.6,37,1.3,2620.99,11885.9
Bilibili Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Fiora,7,0,3,Perfect KDA,285,10.4,13137.89,17639.3
JUNGLE,Sejuani,3,2,12,7.5,175,6.4,7967.58,24136.4
MID,Veigar,2,1,16,18,226,8.2,11258.79,11215.5
ADC,Zeri,8,1,11,19,281,10.2,20388.25,8478.48
SUPPORT,Rakan,1,0,19,Perfect KDA,46,1.7,4218.3,10825.6
Game 2
Time,34:36
Bilibili Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gnar,3,2,8,5.5,325,9.4,23709.49,22866.3
JUNGLE,Vi,3,4,8,2.8,181,5.2,7699.6,27661.3
MID,Galio,2,1,10,12,243,7,15755.25,18359.2
ADC,Zeri,10,2,6,8,378,10.9,36960.2,17008.8
SUPPORT,Rakan,1,3,8,3,50,1.4,6460.29,16184.1
Top Esports - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sylas,4,5,5,1.8,277,8,27763.12,38161.8
JUNGLE,Viego,1,3,5,2,205,5.9,9735.95,34082.3
MID,Gragas,2,4,3,1.3,210,6.1,12401.73,25640
ADC,Xayah,5,3,3,2.7,352,10.2,28263.33,17057.7
SUPPORT,Renata Glasc,0,4,9,2.3,22,0.6,3833.48,11971.8

Rare Atom vs JD Gaming
Game 1
Time,23:39
Rare Atom - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Rumble,0,2,3,1.5,211,8.9,16029.76,10249.3
JUNGLE,Sejuani,1,2,3,2,141,6,2019.9,26604.5
MID,Yone,0,3,3,1,191,8.1,4427.42,14500.5
ADC,Aphelios,3,0,1,Perfect KDA,217,9.2,7488.92,5533.67
SUPPORT,Nautilus,0,4,3,0.8,35,1.5,2237.06,9078.97
JD Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,1,1,5,6,176,7.4,6529.19,14563.1
JUNGLE,Elise,0,0,9,Perfect KDA,124,5.2,8315.82,10913.6
MID,Jayce,6,0,2,Perfect KDA,230,9.7,16694.94,7942.3
ADC,Jinx,3,0,4,Perfect KDA,249,10.5,15679.79,5318.91
SUPPORT,Thresh,1,3,7,2.7,33,1.4,2062.51,10557.8
Game 2
Time,38:14
JD Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Akali,4,4,8,3,281,7.3,20085.27,25321.6
JUNGLE,Viego,8,4,10,4.5,275,7.2,25305.37,43417.4
MID,Gragas,3,5,11,2.8,272,7.1,20567.22,38034.1
ADC,Aphelios,7,4,4,2.8,363,9.5,29172.05,13920.4
SUPPORT,Nautilus,1,8,14,1.9,36,0.9,9262.22,26706.8
Rare Atom - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,2,4,9,2.8,258,6.7,10367.59,27966.9
JUNGLE,Nidalee,5,4,17,5.5,250,6.5,35224.82,37031.1
MID,LeBlanc,9,4,3,3,288,7.5,27780.87,19845.3
ADC,Xayah,9,4,8,4.3,390,10.2,34828.83,20967.8
SUPPORT,Blitzcrank,0,7,10,1.4,38,1,5207.56,22642.9

Weibo Gaming vs Ninjas in Pyjamas
Game 1
Time,24:00
Weibo Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Renekton,1,2,4,2.5,198,8.3,10251.58,16406.2
JUNGLE,Elise,3,1,11,14,131,5.5,10461.32,16886.8
MID,Jayce,4,1,8,12,225,9.4,18006.85,9796.54
ADC,Caitlyn,6,0,8,Perfect KDA,222,9.3,14822.23,4638.15
SUPPORT,Lux,3,1,11,14,14,0.6,8715.6,6159.06
Ninjas in Pyjamas - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,2,4,2,1,170,7.1,10973.12,22355.8
JUNGLE,Jarvan IV,0,5,2,0.4,94,3.9,1691.19,20076.3
MID,Ahri,0,3,1,0.3,192,8,6013.36,15963.3
ADC,Zeri,2,3,1,1,215,9,9389.23,10626.4
SUPPORT,Lulu,1,2,2,1.5,28,1.2,1742.69,6245.67
Game 2
Time,22:37
Weibo Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Malphite,1,0,3,Perfect KDA,192,8.5,10823.74,10528.5
JUNGLE,Sejuani,0,1,5,5,128,5.7,3637.31,20217.6
